,p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0,0.1,1,LFOICA,0.926923076923077,0.6108333333333333,0.6707819185645272,0.5583333333333333,0.6166666666666666,0.5757142857142858,0.0633332019800999,17.40637218952179
1,0.1,1.5,LFOICA,0.8498593073593075,0.4573260073260073,0.5600508176093743,0.36666666666666664,0.3833333333333333,0.3733333333333333,0.08509422173470786,17.109224677085876
2,0.1,2,LFOICA,0.7372142857142857,0.42168386652906775,0.5035555555555555,0.3,0.33333333333333337,0.30666666666666664,0.1180373720680185,17.052115631103515
3,0.1,2.5,LFOICA,0.8612772461456674,0.5901198945981554,0.6712961005402865,0.1708333333333333,0.29999999999999993,0.20454545454545453,0.2710482572949791,16.815965747833253
4,0.1,3,LFOICA,0.7985281385281385,0.4043742017879949,0.5137733139477325,0.3,0.2833333333333333,0.27666666666666667,0.2835620187941559,16.943421149253844
5,0.2,1,LFOICA,0.8044172494172495,0.5294444444444444,0.5720071010860486,0.23166666666666663,0.35,0.2734126984126984,0.06564764298328206,19.47944781780243
6,0.2,1.5,LFOICA,0.7046031746031746,0.39230769230769236,0.4894306622170399,0.24333333333333335,0.30666666666666664,0.25803030303030305,0.1270376705568204,19.141579341888427
7,0.2,2,LFOICA,0.58,0.2230718954248366,0.3138143016403886,0.19999999999999998,0.17333333333333334,0.18303030303030304,0.12142139451884097,19.268700766563416
8,0.2,2.5,LFOICA,0.6132783882783882,0.1971682665160926,0.2776094276094276,0.10833333333333332,0.13333333333333333,0.11333333333333333,0.1318164070953749,18.969965744018555
9,0.2,3,LFOICA,0.4794642857142857,0.17176923076923076,0.2462144037215773,0.0,0.0,0.0,0.17559287277542376,18.80779104232788
10,0.3,1,LFOICA,0.8766666666666667,0.4319047619047619,0.5528937728937728,0.2813888888888889,0.36,0.30203463203463204,0.08315594676957509,24.5701842546463
11,0.3,1.5,LFOICA,0.8233516483516483,0.32499500499500505,0.4373573104455458,0.33111111111111113,0.3983333333333333,0.3425468975468976,0.12607064668560058,23.956682133674622
12,0.3,2,LFOICA,0.7325396825396826,0.36919117647058824,0.47164636721512776,0.19909090909090907,0.36666666666666664,0.2479784104784105,0.1869146802907687,22.32243618965149
13,0.3,2.5,LFOICA,0.8522222222222222,0.38677944862155383,0.4937511180595888,0.27815476190476185,0.5964285714285714,0.36931159420289855,0.38250752509302444,21.48958730697632
14,0.3,3,LFOICA,0.7,0.2571428571428572,0.3637514736221633,0.2861904761904762,0.4871428571428571,0.34483660130718946,0.41377690220526164,21.748025703430176
15,0.4,1,LFOICA,0.5966666666666667,0.325,0.406993006993007,0.6334632034632034,0.7474603174603175,0.6683110554163185,0.10658009995137283,27.448021268844606
16,0.4,1.5,LFOICA,0.7943939393939394,0.377449494949495,0.4767422120363296,0.4659848484848485,0.7018650793650794,0.5352813852813852,0.2888652393221664,26.050152277946474
17,0.4,2,LFOICA,0.9650000000000001,0.39663003663003665,0.5240314913844325,0.541532634032634,0.7384126984126984,0.5988568093488003,0.3272669282937753,25.26831250190735
18,0.4,2.5,LFOICA,1.0,0.4133333333333333,0.5633835926715184,0.468517316017316,0.7472222222222222,0.5643827517511728,0.8866023944326988,24.040210461616518
19,0.4,3,LFOICA,0.9875,0.4533333333333334,0.5980396065922382,0.43630036630036634,0.6714285714285715,0.520469807969808,0.8285128773566914,23.480702781677245
20,0.5,1,LFOICA,0.7416666666666667,0.41583333333333333,0.5201770451770451,0.4802922077922078,0.5415079365079365,0.49258592714475063,0.0822323204439763,26.793784260749817
21,0.5,1.5,LFOICA,0.894047619047619,0.3763492063492063,0.4948701298701298,0.5294047619047619,0.5944949494949496,0.5466624657598176,0.17991322374317292,26.384616947174074
22,0.5,2,LFOICA,0.9,0.32333333333333336,0.44570821335527216,0.3862464985994397,0.508008658008658,0.421527825695283,0.4489789340558713,25.241892910003664
23,0.5,2.5,LFOICA,0.85,0.22000000000000003,0.328996003996004,0.43893939393939385,0.46785714285714297,0.44027777777777777,0.2569132806746409,26.155106258392333
24,0.5,3,LFOICA,1.0,0.31000000000000005,0.4408508158508158,0.42916348357524825,0.5159632034632036,0.4590656565656566,0.22693462001158723,26.824312233924864
