p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0.1,1,RCD,0.925595238,0.59,0.71302521,0.190300672,0.633333333,0.258245614,0.106895285,15.77982616
0.1,1.5,RCD,0.916071429,0.373333333,0.519554915,0.117834439,0.833333333,0.198929649,0.129484908,10.55176876
0.1,2,RCD,0.9375,0.25,0.388616464,0.085204656,0.866666667,0.152393387,0.152833933,9.537024283
0.1,2.5,RCD,0.916666667,0.164,0.27245352,0.065315302,0.866666667,0.119960858,0.190246588,8.995013022
0.1,3,RCD,0.941666667,0.156666667,0.258953796,0.063532576,0.8,0.116460373,0.218507279,7.300915933
0.2,1,RCD,0.835,0.3,0.425397935,0.235193091,0.708333333,0.349909379,0.137082767,12.5715847
0.2,1.5,RCD,0.951428571,0.266666667,0.405222716,0.185893287,0.816666667,0.29992706,0.174236242,11.73457081
0.2,2,RCD,0.941666667,0.175,0.286217559,0.163988146,0.95,0.277728907,0.205457134,8.283605456
0.2,2.5,RCD,0.875,0.12,0.205538276,0.124885889,0.85,0.216396407,0.271612345,6.793189836
0.2,3,RCD,0.844444444,0.13,0.214937621,0.125100839,0.825,0.214844638,0.368908579,10.18753445
0.3,1,RCD,0.846666667,0.35,0.464152514,0.370943178,0.707301587,0.473846362,0.141578091,11.27906544
0.3,1.5,RCD,0.845,0.24,0.355276936,0.244748561,0.763809524,0.368386769,0.172121857,14.49346271
0.3,2,RCD,0.7375,0.165,0.26306781,0.168616712,0.667301587,0.268502758,0.208839245,12.82822835
0.3,2.5,RCD,0.774603175,0.136,0.222819488,0.164295444,0.727301587,0.267137875,0.240257039,10.80083637
0.3,3,RCD,0.911666667,0.103333333,0.17723987,0.150512572,0.713015873,0.247290569,0.312639624,5.397669077
0.4,1,RCD,0.666666667,0.26,0.358772355,0.360111826,0.693333333,0.461842074,0.164430662,11.58065579
0.4,1.5,RCD,0.673333333,0.14,0.228169935,0.280159512,0.7175,0.396040065,0.194402883,8.921756029
0.4,2,RCD,0.741666667,0.095,0.163354399,0.225249515,0.76,0.343705292,0.23163633,6.575074244
0.4,2.5,RCD,0.675,0.052,0.094824779,0.217852154,0.825,0.342482405,0.282682233,3.952945232
0.4,3,RCD,0.488095238,0.05,0.087879264,0.216498018,0.8825,0.345632855,0.332944468,3.10361836
0.5,1,RCD,0.83,0.22,0.335301365,0.407874693,0.694172494,0.508200107,0.159646634,4.893303943
0.5,1.5,RCD,0.755,0.113333333,0.189471104,0.303868508,0.718818959,0.423079853,0.206107011,3.881254148
0.5,2,RCD,0.8,0.07,0.127385658,0.285002261,0.776394716,0.409954216,0.263587126,2.447630191
0.5,2.5,RCD,0.88,0.132,0.215964079,0.293208749,0.781895882,0.42076541,0.324124528,6.912583447
0.5,3,RCD,0.88,0.086666667,0.151028475,0.235770402,0.747707848,0.356134345,0.361344867,4.289498496
